id_transaksi,nama_produk,quantity,total,created_at
9,"Pilus Garuda",1,1000.00,"2025-11-30 15:19:21"
10,"Beras Pandan Wangi 5kg",1,98000.00,"2025-11-30 15:20:15"
10,Cappuccino,1,98000.00,"2025-11-30 15:20:15"
10,"Es Teh Manis",1,98000.00,"2025-11-30 15:20:15"
11,"Beras Pandan Wangi 5kg",1,65000.00,"2025-11-30 15:25:15"
12,Espresso,1,20000.00,"2025-11-30 15:38:21"
13,"Beras Pandan Wangi 5kg",1,65000.00,"2025-12-23 08:45:12"
14,"Nasi Goreng Special",5,138600.00,"2025-12-30 13:42:05"
14,OREO,4,138600.00,"2025-12-30 13:42:05"
14,"Pilus Garuda",1,138600.00,"2025-12-30 13:42:05"
15,Cappuccino,4,253350.00,"2025-12-30 13:42:24"
15,"Beras Pandan Wangi 5kg",2,253350.00,"2025-12-30 13:42:24"
15,"Es Teh Manis",1,253350.00,"2025-12-30 13:42:24"
15,Espresso,2,253350.00,"2025-12-30 13:42:24"
15,"Indomie Goreng",1,253350.00,"2025-12-30 13:42:24"
16,Espresso,7,126000.00,"2025-12-30 13:42:34"
17,OREO,5,46000.00,"2025-12-30 16:00:02"
17,"Pilus Garuda",3,46000.00,"2025-12-30 16:00:02"
17,"Es Teh Manis",1,46000.00,"2025-12-30 16:00:02"
